Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
u5IcBEql_1_0,Oliver Dragojević,Oliver,2002. godine u Splitu  (Bajka za odrasle),595,"Dobar dan, dragi putnici
kroz nekoliko trenutaka
poletjet cemo u pravcu Mjeseca

Molimo Vas, da vezete vase pojaseve
i da, prilikom polijetanja, ne pusite
Hvala
 
Dvi ´iljade i druge
mi cemo poc´ na Misec
u miru da provedemo lito

Jer, od pusti´ turisti
ca ce doc´ nan na more
ni okrenit´ se nece moc´ ni´ko

Dvi ´iljade i druge
sve bi´ce na botune
i samo ces tribat´ pritiskat´ nji´

I ima´ces ca zamislis
jo, ca ce onda
onda lipo bit´

Ref. 2x
Dvi ´iljade i druge godine
godine na svitu
ajme, ca ce tek onda lipo bit´
lipo bit´ u Splitu

Dvi ´iljade i druge
svak´ ce imat´ novi stan
a ribe s Marsa bi´ce svaki dan

Svak´ ce dobit´ telefon
i ima´cemo  stadion
na njemu ce igrat´ svitski sampion

Dvi ´iljade i druge
sve bi´ce automatik 
onda nan nece tribat´ radit´

Kompjuteri ce mislit´ za nas
a mi cemo samo
pivat´ po cili dan

Ref. 3x

Ajme, ca ce tek onda lipo bit´
lipo bit´
lipo bit´ u Splitu","https://tekstovi.net/2,186,64116.html"
u5IcBEql_1_1,Oliver Dragojević,Oliver,A sad adio,137097,"Jednom odletjece ptice
ulice nase ostace bez sunca
covjek ispratice zenu
dugo na vjetru jos stajace sam

Jednom odlazi svako
putem svog zivota
na rastanku samo srce kaze
ja cu se vratiti
 
Ref.
A sad adio, a sad adio
i ko zna gdje, i ko zna kad
a sad adio, a sad adio
i ko zna gdje, i ko zna kad

Gledam nepoznata lica
svaki taj covjek ja bih mog'o biti
gledam, ljube se i placu
putuju s nadom, ja odlazim sam

Gledam oci djecaku
vraca se djetinjstvo
ugasena svjetla na peronu
takva si mladosti

Ref.

Gledam jer zelim sve da pamtim
nebo, kamen i ptice u letu
gledam i kad zatvorim oci
bicemo zajedno u dalekom svetu

Beskrajne ravnice gledam
pozdravljam te, zemljo, zemljo moja
ti ces me cekati, jedina ti","https://tekstovi.net/2,186,9191.html"
u5IcBEql_1_2,Oliver Dragojević,Oliver,A vitar puse,48720,"Su zrnon soli, su mrvu kruva
i puno duse
ova nas jubav tepli i cuva
a vitar puse

Su pjaton juve kad projdu dani
i stvari luse
ova nas jubav jaca i rani
a vitar puse
 
Ref.
I neka projdu sve obilance
svi lipi gusti i sve uzance
i neka nima ni sna ni smija
uz tebe uvik znan ca bi tija
a vitar puse, a vitar puse
a vitar puse, nek samo puse

Su kapju uja, su saku zeja
kad sni se ruse
ova nas jubav dize sa tleja
a vitar puse

Kad gori svica a nima loja
kad udru suse
ova je jubav sira od poja
a vitar puse

Ref.","https://tekstovi.net/2,186,8618.html"
u5IcBEql_1_3,Oliver Dragojević,Oliver,Adio bella,17108,"Vapor je u luci i na me ceka
ostaje mi samo postelja meka
poljupcem mi brises tugu sa cela
tepajuci njezno adio bella
adio ljubavi

Ref.
Adio bella, adio bella
ostavljas mene, svoj najlipsi cvit
srcu je tesko, al' suze ce skrit
 
Adios amor, adios amor, adios amor

Vera je na ruci i na te ceka
kako cu bez tebe, nisi mi reka
sidro ca se dize, srce mi cipa
s prove ti mi mases adio lipa
adio ljubavi

Adio bella, adio bella
ljubav ces jedina zauvik bit
prokleto more i soldi i svit

Adios amor, adios amor, adios amor","https://tekstovi.net/2,186,42321.html"
u5IcBEql_1_4,Oliver Dragojević,Oliver,Adio kumpanji,17874,"Tesko nam je lipo reci
ono sto je bilo lipo
sanjali smo mi o sreci
virovali u to slipo
sad se vise nima kamo
naresli smo i sve znamo
 
Tesko nam je tuzno reci
ono sto je bilo tuzno
mislili smo more preci
brisali smo ono ruzno
sad se vise nima kamo
naresli smo i sve znamo

Ref.
Adio, adio kumpanji
nas misec je pijan i crn
adio, adio kumpanji
u srce se zabija trn
adio, adio, adio kumpanji

Tesko nam je reci ista
sto bi se jos moglo reci
satrli smo sva godista
da bi mogli more preci
sad se vise nima kamo
naresli smo i sve znamo

Ref.","https://tekstovi.net/2,186,8620.html"
u5IcBEql_1_5,Oliver Dragojević,Oliver,Ajde idi svojim putem,50808,"Znam, tebi treba mirna postelja
a ja sam losa utjeha
znam, tebi treba neki drugi lik
a ne ja gubitnik

Znam, tebi treba nekog novog sna
a ja ti nisam Bog zna sta
Znam, tebi treba skloniste od svih
a ne ja beskucnik
 
Ref.
Ajde idi svojim putem
pa ti vidi kako ces
ajde idi svojim putem
pa ti vidi kome ces

Ti voljela si nekad kao ja
a uvijek sve si gubila
ja volio bih da si rodjena
u mojim snovima

Ref.

Ne pitaj me zasto
jer reci cu ti laz
nisam los ni dobar
a najbolji sam sam

Najljepse sam dane
prozivio sa njom
i da sto puta umrem
znao bi im broj","https://tekstovi.net/2,186,8617.html"
u5IcBEql_1_6,Oliver Dragojević,Oliver,"Ajde, zbogom",112557,"Jos jucer sam znao o tebi sve
rastavit me niko nije moga od tebe
a danas mi oci tvoje kazu istine
koje ovu moju dusu rizu na dvoje

I necu te molit, vrati se
nek vrime cini svoje
moram bez tebe
skupit cu forcu svu
za kraj nasmijesit se
dok ti odlazis s vitron
i odnosis mi sve

Ref.
Ajde, zbogom
nek ti je sritno od mene
nikad necu grube rici
kazat za tebe

Ajde, zbogom
nek ti je sritno ovi put
dobro znam da
vrime je za sicanje","https://tekstovi.net/2,186,8257.html"
u5IcBEql_1_7,Oliver Dragojević,Oliver,Ako ikad ozdravim,44699,"Ako ikad ozdravim
docu da te pozdravim
da ti ruku poljubim
da ti dusi oprostim

Ref.
Ako ikad ozdravim
docu da te pozdravim
nek me nisi cekala
zeljo jedina
 
Zora svice, pitaj me
kako mi je bez tebe
vani lete pahulje
kao i ja tope se

Ref.

Ako ikad ozdravim
bit ce to u proljece
kada cvate ruzmarin
i kad trava mirise

Ref.","https://tekstovi.net/2,186,8621.html"
u5IcBEql_1_8,Oliver Dragojević,Oliver,Ako izgubim tebe,154498,"Dok me budi nova zora
znam da sretan bit ce dan
jer kraj uzglavlja si moga
a, na vjedjama ti san
puna ljubavi, puna njeznosti
moja stvarnost sada si ti
 
Ti se budis, ti me gledas
pun topline tvoj je glas
nasa postelja je meka
sreca bdije oko nas
puni ljubavi, puni njeznosti
u toj stvarnosti smo mi

I dok predajem se milovanju tvom
neki cudni krijem strah u srcu svom
ja te trebam, ja te ne dam, 
ja sam tvoj

Ref.
Ako izgubim tebe ja izgubit cu ljubav
ovu beskrajnu srecu koju pruzas mi ti
ako izgubim tebe ja izgubit cu njeznost
i toplinu tog gnjezda koje svili smo mi
ako izgubim tebe ja izgubit cu sve

Kad bih mogao zauvjek
da zaustavim taj sat
da nam zanos vjecno traje
sto bi sve jos mogli dat'
nasoj ljubavi, nasoj njeznosti
nikad ne bi znali kraj","https://tekstovi.net/2,186,8622.html"
u5IcBEql_1_9,Oliver Dragojević,Oliver,Ako potrajes mi ti,112443,"Ako potrajes mi ti
sve cu ti oprostiti, jedina moja
od lazi sa tvojih obraza
sve do moga poraza bija sam tvoj

Ako potrajes mi ti
nikad necu saznati
da l' bila si moja
a kormilo ovo drzim ja
samo bosim nogama
i ne dam se litu
ca me pita za tebe

Neka je voje falilo
nisan se prominija
ja san zadnji mornar ca je
s tebom vesla slomija

Neka je dusu popilo
samo nek kraj mene si
zadnji drhtaj tila dacu za tebe
ako potrajes mi ti","https://tekstovi.net/2,186,8664.html"
u5IcBEql_1_10,Oliver Dragojević,Oliver,Ako volis me,195015,"Ako volis me 
ja ti ruku pruzam
ako volis me 
dat' cu sve
sta san ti duzan

Ako volis me 
prostit ces mi grije
pokaja san se 
pusti srce da se smije
 
Ref.
Nebom plovi dan
modro more ljulja
sritan sam kad znan
da me tvoja ljubav cuva

Nebom plovi dan
modro more ljulja
opet ljubim te
tvoje oci, dva dragulja

Sad zaboravi 
one dane grube
ove usne sad
zele samo da te ljube

Ref.

Opet ljubim te
tvoje oci, dva dragulja
","https://tekstovi.net/2,186,14042.html"
u5IcBEql_1_11,Oliver Dragojević,Oliver,Andjela,38857,"I kobni dodje dan
da srecu nam pomuti
oprostaj tvoj i moj
i rijeka suza vrelih

Na mojoj ruci sal
samocu srce sluti
iz mog zivota
sad ides ti
 
Ref.
Andjela, Andjela, znaj
kad budes daleko
tvoga ce sunca sjaj
isto da me grije

Andjela, Andjela, znaj
da ceka te netko
i da ti vjeruje jos
vise nego prije

A prodje zivot sav
u ljubavi sa tobom
za spomen osta sal
i bol u dusi mojoj

Ja ne znam sto cu sad
ucinit' sam sa sobom
kad kuca tuge
sad nas je dom

Ref.","https://tekstovi.net/2,186,8666.html"
