Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Organ_discogs,Arranged By_discogs,Vocals_discogs,Saxophone [Solo]_discogs,Recorded By_discogs,Mixed By_discogs,Timbales_discogs,Percussion_discogs,Piano_discogs,Guitar [Solo]_discogs,Saxophone_discogs,Trombone_discogs,Trumpet_discogs,Orchestra_discogs,Orchestrated By_discogs,Conductor_discogs,Organ [Hammond]_discogs,Producer_discogs,Loops_discogs,Synthesizer [Brass]_discogs,Guitar_discogs,Vocals [Guest]_discogs,Backing Vocals_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Parni Valjak,Parni Valjak,Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi,,Husein Hasanefendić,Husein Hasanefendić,Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad,nan-Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad
Parni Valjak,Parni Valjak,Dok Si Mlad,,Josip Ivanković,Husein Hasanefendić,Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad,nan-Tako Prođe Tko Ne Pazi Kad Ga Parni Valjak Zgazi / Dok Si Mlad
Parni Valjak,Parni Valjak,Dodjite Na Show,5:42,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Sličice Iz Tramvaja,4:57,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Pjesma O Starosti,7:00,,,Dodjite Na Show!,Husein Hasanefendić,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Inge,0:32,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Mi Smo Rock And Roll Band,4:18,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Prevela Me Mala Žednog Preko Vode,3:05,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,"nan-Dodjite Na Show!/nan-Prevela Me Mala Žednog Preko Vode / O Šumama, Rijekama I Pticama/2002.0-Hus & Aki Vam Predstavljaju"
Parni Valjak,Parni Valjak,Svim Slomljenim Srcima,6:53,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!
Parni Valjak,Parni Valjak,Predstavi Je Kraj,3:50,,,Dodjite Na Show!,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dodjite Na Show!,nan-Dodjite Na Show!/nan-Koncert
