Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Aranžman_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Album_9_diskografija,Album_10_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,PZ5KqfC1_1_0,Parni Valjak,Parni Valjak,700 milja od kuce,10658,"700 milja od kuce
nalazim se sada ja
tamo me ceka majka i draga
tamo mi je sreca sva
tamo mi je sreca sva

Cesto mi govore ljudi
da uzaludan moj je trud
idi kuci, dragu ljubi
idi, sta ces tu
idi, sta ces tu
 
Ref.
Igra je gruba
rijetko tko zna
igra je gruba
tvrdji bit' cu ja

Meni je bila djevojcica slatka
kada sam otis'o ja
da li me ceka i da l' me jos voli
samo vjetar zna
samo vjetar zna

Ref.

Ref.","https://tekstovi.net/2,581,45198.html",,,,,,,,,,,,,,,,,,,,,,,,,,
1,PZ5KqfC1_1_1,Parni Valjak,Parni Valjak,A gdje je ljubav,165856,"Danima vec kisa
ja iz dura opet odlazim u mol
i ne znam vise kako
od srca se ne smijem predugo 

Sasvim krivo vrijeme za mene
prolazim bez potrebe
nisu sanse svima jednake
ne mozes od istine
 
Oprostite na smetnji
i ja bih rado nesto veselo
al' nema dobrih vijesti
gorko valjda trazi lagano 

Sasvim krivo vrijeme za mene
prolazim bez potrebe
sve su boje sivo srebrne
cekas ljeto, a vec zima je

A gdje je ljubav
o, a gdje je ljubav

Slazem dane, tugo
ti si moja vjerna pratilja
a nema tome dugo
jos je bilo svjetla ispred nas 

Trazim ljude, slabo pogadjam
cuvaj ledja, svasta se dogadja
sve su boje sivo srebrne
cekas ljeto, a vec zima je

Ref.
A gdje je ljubav
o, a gdje je ljubav
kazi, gdje je ljubav
o, a gdje je ljubav

A gdje je ljubav
kazi, gdje je ljubav
o, a gdje je ljubav
kazi, gdje je ljubav, o","https://tekstovi.net/2,581,17962.html",Husein Hasanefendic,A gdje je ljubav,Where Is The Love?,,"Danima već kiše
1
Ja iz dura opet odlazim u mol
I ne znam više kako
Od srca se ne smijem predugo. Sasvim krivo vrijeme za mene
Prolazim bez potrebe
Nisu šanse svima jednake
Ne možeš od istine. Oprostite na smetnji
I ja bih rado nešto veselo
Al' nema dobrih vijesti
Gorka valjda traži lagano. Sasvim krivo vrijeme za mene
Prolazim bez potrebe
Sve su boje sivo-srebrne
Čekaš ljeto, a već zima je.... A gdje je ljubav?
Ooooo... a gdje je ljubav?. Slažem dane, tugo,
Ti si moja vjerna pratilja
A nema tome dugo
Još je bilo svjetla ispred nas. Tražim ljude, slabo pogađam,
Čuvaj leđa svašta se događa
Sve su boje sivo-srebrne
Čekas ljeto, a već zima je.... A gdje je ljubav?
Ooooo... a gdje je ljubav?","It’s raining for days
I’m jumping from major to minor scale
And I don’t know how
I don’t laugh from my hart for long. Completely wrong time for me
Going through without need
Not all have same chance
You can’t because of truth. Sorry to bother
I would gladly have something happy
But there is no good news
It’s bitter slow search. Completely wrong time for me
Going through without need
All the colours are gray-silver
Waiting for the summer, it’s already a winter. Where is the love?
Oooooo... Where is the love?. Stacking days, o sorrow
You are my devoted escort
Not long time ago
There was still some light in front of us. Looking for the people, mostly missing them
Mind your back everything is going on
All the colours are gray-silver
Waiting for the summer, it’s already a winter. Where is the love?
Oooooo... Where is the love?",https://lyricstranslate.com/en/gdje-je-ljubav-where-love.html,,,,,,,,,,,,,,,,,"Danima već kiši
Ja iz dura opet odlazim u mol
I ne znam više kako
Od srca se ne smijem predugo

Sasvim krivo vrijeme za mene
Prolazim bez potrebe
Nisu šanse svima jednake
Ne možeš od istine

Oprostite na smetnji
I ja bih rado nešto veselo
Al' nema dobrih vijesti
Gorka valjda traži lagano

Sasvim krivo vrijeme za mene
Prolazim bez potrebe
Sve su boje sivo-srebrne
Čekaš ljeto, a već zima je...

A gdje je ljubav?
Ooooo... a gdje je ljubav?

Slažem dane, tugo,
Ti si moja vjerna pratilja
A nema tome dugo
Još je bilo svjetla ispred nas

Tražim ljude, slabo pogađam,
Čuvaj leđa svašta se događa
Sve su boje sivo-srebrne
Čekaš ljeto, a već zima je...

A gdje je ljubav?
Ooooo... a gdje je ljubav?",A gdje je ljubav?,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/a-gdje-je-ljubav.html
2,PZ5KqfC1_1_2,Parni Valjak,Parni Valjak,Ako zelim,11412,"Vrijeme provodim u oblacima
ocekujuci da se nesto desi
potpuno sam slijep u njima
ipak shvacam sto se ovdje zbiva

Koliko sam dugo
proveo na nebu
koliko sam mnogo
snivao o svemu
 
Ne osjecam vrijeme
i nista oko sebe osim tebe

Ref.
Konacno sam shvatio
da moram sici
i tebi kao svakoj
djevojci prici

Ako zelim
da mi kazes ""hej""
da mi kazes

Ref.","https://tekstovi.net/2,581,45347.html",,,,,,,,,,,,,,,,,,,,,,,,"Vrijeme provodim u oblacima,
Očekujući da se nešto desi,
Potpuno sam slijep u njima,
Ipak shvaćam što se ovdje zbiva.
Koliko sam dugo proveo na nebu,
Koliko sam mnogo snivao o svemu.

Ne osjećam vrijeme,
Ne osjećam vrijeme,
Ne osjećam vrijeme
I ništa oko sebe.
Ne osjećam vrijeme
I ništa oko sebe
Osim tebe!

Konačno sam shvatio da moram sići
I tebi kao svakoj djevojci prići
Ako želim,
Ako želim,
Ako želim
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""

Ne osjećam vrijeme,
Ne osjećam vrijeme,
Ne osjećam vrijeme
I ništa oko sebe.
Ne osjećam vrijeme
I ništa oko sebe
Osim tebe!

Konačno sam shvatio da moram sići
I tebi kao svakoj djevojci prići
Ako želim,
Ako želim,
Ako želim
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""

Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""
Da mi kažeš: ""Hej!""",Ako želim,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/ako-zelim.html
3,PZ5KqfC1_1_3,Parni Valjak,Parni Valjak,Andjeli se dosadjuju,38246,"Jos nam jedno vece
nepovratno tece
da l' se negdje nesto desava
kazite mi gdje, eto tamo i mene

A tebe cu luce
da ostavim kod kuce
sa mnom neces vise nikuda
jer ja uz tebe, umirem od dosade
 
Ref.
Ako samo takve u nebo idu
tamo sve je puno andjela
i bas si nesto mislim
valjda njima gore
ne treba ni murija

I ako samo takve u nebo idu
gore mora da je dosadno
i mada ja vec dugo
ne mogu da biram
ako je raj lijevo, kidam u desno

Pitaj mamu, pitaj tatu
kako izgledaju
lude noci, sve do zore
da l' se sjecaju

O, dosada, kada smo
sami ti i ja
ma ne, nisam ljut
al' ne gasi svijetlo svaki put

Ref.","https://tekstovi.net/2,581,29075.html",,,,,,,,,,,,,,,,,,,,,,,,"Još nam jedno veče nepovratno teče
Dal se negdje nešto dešava
Kažite mi gdje eto tamo i mene
A tebe ću luče da ostavim kod kuče
Sa mnom nećeš više nikuda
Jer ja uz tebe umirem od dosade

I ako samo takve u nebo idu
Gore sve je puno anđela
I baš si nešto mislim, valjda njima gore
Ne treba im murija.
I ako samo takve u nebo idu
Gore mora da je dosadno
I mada ja već dugo ne mogu da biram
Ako raj je lijevo kidam u desno.

Pitaj mamu, pitaj tatu
Kako izgledaju
Lude noći, sve do zore
Da l' se sjećaju
O dosada, kada smo sami ti i ja
Ma ne nisam ljut, al' ne gasi svijetlo svaki put.",Anđeli se dosađuju,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/andjeli-se-dosadjuju.html
4,PZ5KqfC1_1_4,Parni Valjak,Parni Valjak,Anja (feat. Zoran Predin),4622,"Anja gleda negdje visoko u zrak
ona me ne vidi, vise me ne slisi
Anja misli da je ovdje mrak
tako me nervira kada me odbija

Ref.
Hej, hej, hej, daj saberi se
zar ne znas, ljubav ima, isti jezik za sve
hej, hej, hej, daj dodirni me
ja cu te ljubiti
da nikad neces, neces me pozabiti
 
Anja cita novu reviju
i okrece novu stranicu
a do jucer me za ruku hvatala
i na uhu mi njezno saptala

Ref.

Ja jos nigdje nemam stari tek s krvi
kaj se prepiram, drugovi
za nas je rock 'n' roll postena stvar
ja znam gitar, ja znam ljubit

Hej, hej, hej, daj saberi se
zar ne znas, ljubav ima isti jezik za sve
hej, hej, hej, daj dodirni me
dok ces me ljubiti, ja cu te jodlati

Ref.","https://tekstovi.net/2,581,53636.html",,,,,,,,,,,,,,,,,,,,,,,,,,
5,PZ5KqfC1_1_5,Parni Valjak,Parni Valjak,Autoput,38097,"Ja sam covjek obican
radim svojim rukama
i nosim obraz koji traje
prokleta nam sudbina
samo udara samo trazi
trazi, trazi, a malo daje
 
Ref.
Ja gradim autoput u glavi
da se vozim slobodno
i ne dam nikom da me davi
kada vozim prebrzo

Ja sam covjek obican
radim svojim rukama
al' ovim putem necu dalje
vlakovi nam prolaze
sreca prati podobne
nek' racun plati tko ga salje

Ref.

Jer ja samo sklopim oci
gdje god zelim ja cu doci
snovi teku uzvodno

Nista novo, nista dobro
pod neonom ovog grada
nama gori crveno
a, djetinjstvo je gotovo 

Ref.","https://tekstovi.net/2,581,6539.html",Husein Hasanefendic,Autoput,Highway,,"Ja sam čovjek običan
1
radim svojim rukama
i nosim obraz koji traje
prokleta nam sudbina samo udara samo traži
traži, traži, a malo daje. Ja gradim autoput u glavi
da se vozim slobodno
i ne dam nikom da me gnjavi
kada vozim prebrzo. Ja sam čovjek običan
radim svojim rukama
al' ovim putem neću dalje
vlakovi nam prolaze
sreća prati podobne
nek' račun plati tko ga šalje. Jer ja samo sklopim oči
gdje god želim ja ću doći
snovi teku uzvodno
ništa novo, ništa dobro. Pod neonom ovog grada
nama gori crveno","I'm an ordinary man
i'm working with my hands
and keeping honor that leasts
Our damned destiny always strikes and demands
demands, demands, and a little further. I'm building highway in my head
to ride freely
and i'm not letting anyone to bother me
when i drive too fast.. I'm an ordinary man
i'm working with my hands
but hereby i won't go further
Our trains are passing by
fortune follows the eligible
those who sends bill, may pay for it.. Because i just shut my eyes
where ever i want i will go
Dreams are flowing upstream
nothing new, nothing good. Under the neon of this town
light is red to us.",https://lyricstranslate.com/en/autoput-highway.html,,,,,,,,,,,,,,,,,"Ja sam čovjek običan, radim svojim rukama
I nosim obraz koji traje
Prokleta nam sudbina samo udara, samo traži
Traži, traži, a malo daje

Ja gradim autoput u glavi
Da se vozim slobodno
I ne dam nikom da me gnjavi
Kada vozim prebrzo

Ja sam čovjek običan, radim svojim rukama
Al' ovim putem neću dalje
Vlakovi nam prolaze, sreća prati podobne
Nek račun plati tko ga šalje

Jer ja samo sklopim oči
Gdje god želim ja ću doći
Snovi teku uzvodno
Ništa novo, ništa dobro
Pod neonom ovog grada
Nama gori crveno",Autoput,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/autoput.html
6,PZ5KqfC1_1_6,Parni Valjak,Parni Valjak,Bijeg,6181,"Ponedeljak se sporo vuce
u utorak sve novine
napamet znam

Srijeda prazna
nikako da prodje
cetvrtkom cekam
da petak dodje
da petak dodje
 
Ref.
Okrenut' cu broj
tri dana bit' cu tvoj
'ajde da zbrisemo odavde
negdje gdje je lijepo

Negdje gdje bit' cemo sami
'ajde da odemo iz grada
da odemo odavde

Glava puca, radni tjedan
krug se krece otpocetka
lupam pecat na taksene marke
ja stvarno nisam sljakerski
heroj za hiljadarke

Ref.","https://tekstovi.net/2,581,45352.html",,,,,,,,,,,,,,,,,,,,,,,,"Ponedeljak se sporo vuče,
U utorak sve novine napamet znam,
Srijeda prazna, nikako da prođe,
Četvrtkom čekam da petak dođe,
Da petak dođe!

Okrenut ću broj,
Tri dana bit ću tvoj,
'Ajde da zbrišemo odavde,
Negdje gdje je lijepo,
Negdje gdje bit ćemo sami,
'Ajde da odemo iz grada,
Da odemo odavde.

Glava puca, radni tjedan,
Krug se kreće otpočetka,
Lupam pečat na taksene marke,
Ja stvarno nisam šljakerski heroj
Za hiljadarke.

Okrenut ću broj,
Tri dana bit ću tvoj,
'Ajde da zbrišemo odavde,
Negdje gdje je lijepo,
Negdje gdje bit ćemo sami,
'Ajde da odemo odavde,
Da odemo iz grada.
'Ajde da odemo iz grada,
Da odemo odavde.",Bijeg,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/bijeg.html
7,PZ5KqfC1_1_7,Parni Valjak,Parni Valjak,Bolja vremena,11059,"Trgam se od smijeha
nista ne pomaze
zaudara na jeftino i nista
nista ne pomaze

Govoris, zaboravi
kad mogu drugi
mozes i ti
ja ne znam, ja ne znam, ja ne znam
 
Sto se to desava
ne razumijem
mozda su to godine
o da sam barem zaljubljen

Ref. 2x
Kazi, sto da se radi
kada pamtim
i bolja vremena

Molis me za jedan ples
samo jedan ples
trudis se da se zabavim
pomozi mi da zaboravim

Govoris, ma pusti
kad mogu drugi
mozes i ti
ja ne znam, ja ne znam, ja ne znam

Ref. 8x","https://tekstovi.net/2,581,45339.html",,,,,,,,,,,,,,,,,,,,,,,,"Trgam se od smijeha,
Ništa ne pomaže...
Zaudara na jeftino
I ništa,
Ništa ne pomaže.

Što se to dešava?
Ne razum'jem.
Možda su to godine,
O, da sam barem zaljubljen.

Govoriš:
""Zaboravi,
Kad mogu drugi,
Možeš i ti!""
Ja ne znam,
Ja ne znam,
Ja ne znam...

Kaži što
Da se radi
Kada pamtim i bolja vremena?
Što da se radi
Kada pamtim i bolja vremena?

Moliš me za jedan ples,
Samo jedan ples.
Trudiš se da se zabavim,
Pomozi da zaboravim!

Govoriš:
""Zaboravi,
Kad mogu drugi,
Možeš i ti!""
Ja ne znam,
Ja ne znam,
Ja ne znam...

Kaži što
Da se radi
Kada pamtim i bolja vremena?
Kaži što da se radi
Kada pamtim i bolja vremena?",Bolja vremena,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/bolja-vremena.html
8,PZ5KqfC1_1_8,Parni Valjak,Parni Valjak,Citaj mi sa usana,16492,"Evo cekam, ima deset dana
ali necu cekat' vise ni sat
prijatelji kazu jos si sama
'ajde sidji malo sa tog oblaka

Mozemo se slozit' da si dama
vrijedna truda, vrijedna cekanja
al' bit' ce k'o u prici
dama sece sama
jer bitanga je ipak otisla
 
Ref.
U, vjeruj mi, stanica je blizu
ovog puta stvarno silazim
U, vjeruj mi, bit' ces jos jedna u nizu
ako dosad nisi shvatila
citaj mi sa usana

Ako treba ja cu
priznat' da te volim
i ako treba vikat' cu na glas
al' me neces cuti, duso
da te molim
pregrist' cu si jezik zubima

Ref. 3x","https://tekstovi.net/2,581,45498.html",,,,,,,,,,,,,,,,,,,,,,,,"Evo čekam, ima deset dana
Ali neću čekat više niti sat
Prijatelji kažu još si sama
'Ajde siđi malo sa tog oblaka

Možemo se složit da si dama
Vrijedna truda, vrijedna čekanja
Al' bit će ko' u prići - dama šeće sama
Jer bitanga je ipak otišla

U... vjeruj mi, stanica je blizu
Ovog puta stvarno silazim
U... vjeruj mi, bit ćeš još jedna u nizu
Ako do sad nisi shvatila
Čitaj mi sa usana

Ako treba ja ću priznat da te volim
I ako treba vikat ću na glas
Al' me nećeš čuti dušo, da te molim
Pregrist ću si jezik zubima",Čitaj mi sa usana,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/citaj-mi-sa-usana.html
9,PZ5KqfC1_1_9,Parni Valjak,Parni Valjak,Crni dani,6239,"Zivio sam jednom
bogato i lako
prijatelj je u to vrijeme
bio mi svatko
skupa pica, lijepe zene
bile tad su oko mene
 
Na moj racun se pilo
i ludo je, ludo bilo
vjerovao ja sam tada
a gubio sam stalno tada
i sada, sada sam sam

Ref. 2x
Kada dodju crni dani
ostajemo tako sami
kada dodju, kada dodju

Zapeo sam iz sve snage
jace, teze od kakve rage
s poda sam se podigao
i visoko se uzdigao

I gle cuda, igra luda
staro me drustvo
trazi svuda

Ref.

Ref. 4x
Kada dodju crni dani
ostajemo sasvim sami","https://tekstovi.net/2,581,45194.html",,,,,,,,,,,,,,,,,,,,,,,,"Živio sam jednom
Bogato i lako,
Prijatelj je u to vrijeme
Bio mi svatko.
Skupa pića,
Lijepe žene,
Bile tad su
Oko mene.

Na moj račun se pilo
I ludo je, ludo bilo.
Vjerovao ja sam tada,
A gubio sam stalno tada.
I sada,
Sada sam sam!

Kada dođu crni dani
Ostajemo tako sami.
Kada dođu...

Kada dođu crni dani
Ostajemo tako sami.
Kada dođu...

Zapeo sam iz sve snage,
Jače, teže od kakve rage.
S poda sam se podigao
I visoko se uzdigao.
I gle čuda,
Igra luda,
Staro me društvo
Traži svuda.

Kada dođu crni dani
Ostajemo tako sami.

Kada dođu crni dani
Ostajemo sasvim sami.

Kada dođu crni dani
Ostajemo sasvim sami.",Crni dani,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/crni-dani.html
