Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Vocals [Guest]_discogs,Music By_discogs,Lyrics By_discogs,Guest_discogs,Remix_discogs,Vocals [Duet]_discogs,Vocals_discogs,Mastered By_discogs,Arranged By_discogs,Keyboards_discogs,Programmed By_discogs,Backing Vocals_discogs,Bass_discogs,Drum_discogs,Guitar_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Petar Grašo,Petar Grašo,Volim I Postojim,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Mjesec Iznad Oblaka,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Nisan Više Ja Sa Njon,,Mjesec Iznad Oblaka,1997,['Pop'],Dino Rađa,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Otkad Nije Mi Tu,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Prosjak Ljubavi,,Mjesec Iznad Oblaka,1997,['Pop'],,Vedran Gavrić,Vedran Gavrić,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Idi,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Ne Boli Me,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Brod Ljubavi,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Baraba,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka
Petar Grašo,Petar Grašo,Trebam Nekoga,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Ljubav Sve Pozlati,,Mjesec Iznad Oblaka,1997,['Pop'],,,,,,,,,,,,,,,,,1997-Mjesec Iznad Oblaka,1997-Mjesec Iznad Oblaka/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,'Ko Nam Brani,3:41,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Lakše Mi Je S Njom,3:57,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Nek' Pisma Ostane,4:04,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2007-The Platinum Collection
Petar Grašo,Petar Grašo,'92.,4:04,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak
Petar Grašo,Petar Grašo,Prije Bi Umra,4:18,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Ljubav Jedne Žene,3:03,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Utorak,4:23,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2005-Utorak/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Nevista,4:19,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Kada Krenu Vlakovi (Idi),5:04,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak
Petar Grašo,Petar Grašo,Lomi Me,4:39,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Kad Ostarim,5:02,Utorak,1999,['Pop'],,,,,,,,,,,,,,,,,1999-Utorak,1999-Utorak
Petar Grašo,Petar Grašo,Jedina,4:37,Jedina,2003,['Pop'],,Tonči Huljić,Vjekoslava Huljić,,,,,,,,,,,,,,2003-Jedina,2003-Jedina/2003-Šporke Riči/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,CD 1,,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Još Uvik Slipo Virujen,4:04,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Šta Je Tribalo Mi To,4:28,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Šporke Riči,4:15,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,"More I Ja, More I Ti",4:32,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Godine Ljubavi,3:46,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Sad Te Se Samo Rijetko Sjetim,4:32,Šporke Riči,2003,['Pop'],,,,Arsen Dedić,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Da Li I'ko Navija Za Nas,3:45,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,"Gol, Bos, Sam",3:46,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2007-The Platinum Collection
Petar Grašo,Petar Grašo,Vera Od Suvog Zlata,4:03,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,CD 2,,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Ni Mrvu Sriće,3:05,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2003-Šporke Riči/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Sve Nas Manje Ima Tu,3:40,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči/2003-Šporke Riči/2005-Uvertira 1995-2005 Best Of/2007-The Platinum Collection/2014-The Best Of Collection
Petar Grašo,Petar Grašo,Najteža Rič,4:38,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Vera Od Suvog Zlata (Remix),3:50,Šporke Riči,2003,['Pop'],,,,,Unknown Artist,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Interaktivni Dio,,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Galerija Slika,,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,2 Video Spota,,Šporke Riči,2003,['Pop'],,,,,,,,,,,,,,,,,2003-Šporke Riči,2003-Šporke Riči
Petar Grašo,Petar Grašo,Šta Ti Je Svit,3:27,Šta Ti Je Svit,2005,['Pop'],,,,,,,,,,,,,,,,,2005-Šta Ti Je Svit,2005-Šta Ti Je Svit/2005-Uvertira 1995-2005 Best Of
