Artist,ArtistDiskografija,Song,Song_ID,Lyrics,Url,Skladba,Stihovi,Aranžman,Izvedba,Album_1,Album_2,Album_3,Album_4,Album_5,Album_6,Album_7,Album_8
Severina,Severina,Adam i Seva,kxnrI/8e_1_0,"Ne vidim dobro jesi li to ti
I to ne s jednom, više manje, nego s tri
O sve su iste plave kose peglane
Poništene marke taksene
Gledaj tijelo, gledaj vrat
Ne gledaj na rolex sat
Slušaj usne što ti šapuću
Ljubi ruke što te miluju
U prolazu

Aaa pile moje
Aaa gotovo je
Šta mi radiš, šta mi radiš
Pile moje šta mi radiš

Ti pitaš kol'ko sam ih imala do sad
Hm, hm, ma kad sve zbrojim ništa
Tuga, čemer, jad
Ako si prvi čovjek ti na svijetu
Prvi uopće
Što ne kažeš, moj Adame
Gledaj tijelo, gledaj vrat
Ne gledaj na rolex sat
Slušaj usne što ti šapuću
Ljubi ruke što te miluju
U prolazu

Aaa pile moje
Aaa gotovo je
Šta mi radiš, šta mi radiš
Pile moje šta mi radiš",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/adam-i-seva.html,"['Severina Vučković', 'Silvio Pasarić', 'Milo Stavros']",['Severina Vučković'],"['Silvio Pasarić', 'Milo Stavros']",['Severina'],2004 - Severgreen,"2006 - Moja štikla, moj sokole","2006 - Moja štikla, moj sokole",2006 - The best of,,,,
Severina,Severina,"Aj, aj, aj, aj",kxnrI/8e_1_1,"U mojoj ulici jutro donose ptice
i osmijehe na svako lice
djeca za loptom trce i svi se smiju
i nesto mi dovikuju

Dok setam pocinje kisa, ugledam tebe
sami ja i ti, gdje se sakriti
puni su izlozi kisobrana i parfema
i nesto se dobro sprema

Aj, aj, aj, aj
sve je cool i sve je fino
aj, aj, aj, aj
bas se dobro osjecam
s neba ljubav, sami ti i ja
aj, aj, aj, aj
sve je cool i sve je fino

U mojoj ulici kafici su puni ljudi
novine i kava, svi su pomalo ludi
na petom je katu netko pustio latino
i to je u redu i bas nam je fino

U svakoj kapi kise
ljubav ceka na nas
i kad je san il' java
ja ti cujem glas",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/aj-aj-aj-aj.html,,,,,,,,,,,,
Severina,Severina,"Ako odeš, ljubavi",kxnrI/8e_1_2,"Jos jedan nemir osjecam u sebi
Dok me nocas grli ruka tvoja
Ako odes prezalila ne bih
Duso moja, duso moja

Ne daj tuga da nam srusi srecu
Da nas vrijeme zaboravom zbrise
Ako odes ja voljeti necu
Nikad vise, nikad vise

Ako odes, ljubavi
Nemoj nista reci
Kada suze krenu
Suvisne su rijeci

Ako odes, ljubavi
Samo me poljubi
Prije sto te srce
Zauvijek izgubi

Jos jedan nemir osjecam u sebi
Dok me nocas grli ruka tvoja
Ako odes prezalila ne bih
Duso moja, duso moja

Ne daj tuga da nam srusi srecu
Da nas vrijeme zaboravom zbrise
Ako odes ja voljeti necu
Nikad vise, nikad vise",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ako-odes-ljubavi.html,['Tomislav Mrduljaš'],['Bratislav Zlatanović'],['Remi Kazinoti'],['Severina'],,,,,,,,
Severina,Severina,Ante,kxnrI/8e_1_3,"Misto radnje disco klub
Svira narodnjake
Priđe meni neki lik
""Drago mi je Ante
Plešete li""
Ne bih hvala
Rađe bi se udala
""Može odmah curo draga""
Ante šala, šala

Ante okani me se svega ti
Puno si lip, al nisi moj tip

I dok sam u ritmu techna
Izvijala bok
Ante mi se rastužio
Reda štok na štok
Odvaži se, priđe uhu i kaže
""Slušaj molim te.
Bit ćeš moja samo moja
Draga volim te""

Ante okani me se svega ti
Puno si lip, al nisi moj tip",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ante.html,"['Severina Vučković', 'Vladimir Pavelić Bubi', 'Jadranka Krištof', 'Hrvoje Grčević']",['Severina Vučković'],['Hrvoje Grčević'],['Severina'],1999 - Ja samo pjevam,2002 - 18 velikih hitova,"2002 - Virujen u te (najbolje uživo) - uživo
Aranžman: Nikša Bratoš","2005 - Cocktail - uživo
Aranžman: Nikša Bratoš",2006 - The platinum collection,2006 - The best of,,
Severina,Severina,Bambola,kxnrI/8e_1_4,"U tvojim ocima ima necega sto bih probala
u mojim mislima vlada panika i svira muzika
a gdje si ti moja ljubavi, vrijeme prolazi
a gdje si ti moja ljubavi, sunce zalazi

U tvojim rukama ja bih spavala pa se budila
na mojim usnama ima otrova i struja udara
a gdje si ti moja ljubavi, vrijeme prolazi
a gdje si ti moja ljubavi, sunce zalazi

Bambola, la bambola
malo bi se ljubila
bambola, la bambola
jer ova noc je luda noc, za nas stvorena
bambola, la bambola, tvoja jedina

U tvojim ocima ima necega sto bih probala
na mojim usnama ima otrova i struja udara
a gdje si ti moja ljubavi, vrijeme prolazi
a gdje si ti moja ljubavi, sunce zalazi",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/bambola.html,['Zrinko Tutić'],['Nenad Ninčević'],['Nikša Bratoš'],['Severina'],,,,,,,,
Severina,Severina,Bolna ti bolujem,kxnrI/8e_1_5,"Što da radim sada
Otišla mi ljubav
Umrijeti ću mlada

Bože prstom put pokaži
On je tijelo oslabio
Ti osnaži

Bolna ti bolujem
Sreću ja kupujem
Sve je isto ko i lani
Samo ti i ja smo sami",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/bolna-ti-bolujem.html,['Severina Vučković'],['Severina Vučković'],['Ante Pecotić'],['Severina'],,,,,,,,
Severina,Severina,Brad Pitt,kxnrI/8e_1_6,"Ovo će biti dobra noć, predosjećam
Tvoje su oči boje ranog proljeća
Noćni klub i svi smo tu
Na noge svi sad, nek' trese se grad
Ti gledaš me, ja topim se
Hajde priđi mi, ja brojim do tri

Jedan, dva, tri

Ispred mene DJ, iza ruši se sve
Oko mene su svi ludi, samo ne ti
Novi vrti se hit, a ti kao Brad Pitt
Od 150, njih 100 s tobom bi radile to

Al' vidim ja kroz tebe sve
Ti želiš me, a druge ne
Na tebi je baš sve naj, naj
Sto posto znam da ti si taj

Jedan, dva, tri

Zrak između nas je zapaljivi gas
Goriš ti, gorim ja, to je kemija, znam
Pameti laku noć, zvat ću te upomoć
Ako zatrebaš mi, sad spavaj, prošlo je tri

Jer vidim ja kroz tebe sve
Ti želiš me, a druge ne
Na tebi je baš sve naj, naj
Sto posto znam da ti si taj

Jedan, dva, tri",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/brad-pitt.html,"['Filip Miletić', 'Miloš Roganović']","['Filip Miletić', 'Miloš Roganović']","['Filip Miletić', 'Miloš Roganović', 'Dušan Alagić']",['Severina'],,,,,,,,
Severina,Severina,Broš,kxnrI/8e_1_7,"Za mene koban, grub i nemoguć,
za druge ljude sve, dobar, neobičan,
pokupi kofere i vrati ključ,
bar si u odlascima odličan,
izbriši svaki Božji trag,
i nemoj nogom nikada na moj prag.

Od tebe imam broš, sa putovanja dar,
i tuge dosta još za 2 života bar,
to moraš priznati nije mala stvar
od tebe imam broš i ništa više ne,
ti nisi tako loš, al loš si za mene,
za takve kao ti ima zamjene...

Postoji zaborava linija, mi smo je povukli
ti tako htio si
i što sam bila bolja, finija
to gori prema meni bio si
dobro zameti svaki trag,
ko da mi nisi nikada bio drag...

Od tebe imam broš....",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/bros.html,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Silvio Pasarić'],['Severina'],2004 - Severgreen,2005 - Cocktail,,,,,,
Severina,Severina,Budim se s imenom tvojim,kxnrI/8e_1_8,"Evo sklapam oči brojim do tri
Što mi donosiš na dar
riječi što do srca poznaju put
Ma ti sve prečiće znaš

Opet se smiješ i slutiš
Da gubim tlo-o-o-o pod nogama
A tvoja ljubav dolazi
Pod naša dva topla jastuka

Budim se sa imenom tvojim
S poljupcem započinjem dan
Nitima ljubav snove nam kroji
Nebo zna da tvoja sam sva",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/budim-se-s-imenom-tvojim.html,['Zrinko Tutić'],['Zlatan Stipišić Gibonni'],['Nikša Bratoš'],['Severina'],,,,,,,,
Severina,Severina,Čovjek kojeg volim,kxnrI/8e_1_9,"Ja pjevam za tebe
za naša sjećanja
jer srce piše stihove
pjesma je ljubavna
što znače tvoji pogledi
kad sve je gotovo
jer srušeni su mostovi
do tebe odavno

Sve je tužno jer čovjek kojeg volim nije tu 
a kažu da je s nekom koja liči na mene 
al on je samnom i kad je uz nju
jer svatko ima svoje razloge",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/covjek-kojeg-volim.html,['Zrinko Tutić'],['Zlatan Stipišić Gibonni'],['Nikša Bratoš'],['Severina'],1993 - Dalmatinka,1999 - Paloma nera - uživo,2002 - The best of Tutico 6 - 20th Century love,2006 - The platinum collection,,,,
