Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
fqfEGgkn_1_0,Severina,Severina,'Ko to pita,93182,"Falit ces mi, faliti
ali necu zaliti
sanjala sam, sanjala
da cu sresti pravog tigra, lava

Boljeti ce, boljeti
tesko cu preboljeti
radije cu patiti
nego ti se vratiti
 
Nerviras me k'o komarac
velik' bumbar, mali zalac
ne dam pusu, na ti bonu
da te lupi po hormonu

Ringe raja, eci, pec
nisi tigar, ti si zec 

Ref.
'Ko to pita, 'ko to pita
s' kim to moje srce skita
'ajde lave izadji, pa mi srce pronadji
da mi suknja poludi
da mi pjesma puno grudi

'Ko to pita, 'ko to pita
s' kim to moje srce skita
'ajde lave izadji, pa mi srce pronadji
da mi suknja poludi
da mi pjesma, da mi pjesma puni grudi

Falit ces mi, faliti
necu, necu zaliti
sanjala sam, sanjala
da cu sresti pravog tigra, lava

Nerviras me k'o komarac
velik' bumbar, mali zalac
nije meni do slatkisa
hocu lava, necu misa

Ringe raja, cevap sis
nisi lav, ti si mis 

Ref. 

Eci, pec
zvrc, zvrc

Op, op, op

Ajde, ajde, ajde, ajde

Cevap sis 

Ref. 

Ringe raja, cevap sis
ja sam lav, ti si mis","https://tekstovi.net/2,212,27546.html"
fqfEGgkn_1_1,Severina,Severina,'Ocu s tobon zivit',3151,"Stvorija te Bog samo mog da te volim
a nebo kaze da bez tebe ne postojim
odnija mi s lica smih ko god je 'tija
a ti si to, a ti si to prominija

Ref.
'Ocu s tobon zivit', 'ocu s tobom bit'
bez tebe sam suva grana
srce ti je moje davno dalo ric
da je tvoje sve do zadnjeg dana
 
'Ocu s tobon zivit', 'ocu s tobom bit'
gledat' nasu dicu lipu
srce ti je moje davno dalo ric
mi smo skupa najjaci na svitu

Obecanu si zemlju da mojoj dusi
pa da u nju stanu svi lipi gusti
loza divja ka bila san, bila cila
a ti si to, a ti si to prominija

Ref. 2x","https://tekstovi.net/2,212,58175.html"
fqfEGgkn_1_2,Severina,Severina,Adam i Seva,69763,"Veceras ja ulazim u klub
prva macka, plesna kraljica
o, bjez'te, epizodne nule
ja sam glavna uloga, svih predstava

Ne vidim dobro, jesi li to ti
i to ne s' jednom
vise manje nego s' tri
o, sve su iste plave kose peglane
ponistene marke taksene
 
Gledaj tijelo, gledaj vrat
ne gledaj na Rolex sat
slusaj usne sto ti sapucu
ljubi ruke sto te miluju, u prolazu

Ref.
O-o-o, pile moje
o-o-o, gotovo je
sta mi radis, sta mi radis
pile moje, sta mi radis

Ti pitas kol'ko sam ih imala do sad
ma kad sve zbrojim nista
tuga, cemer, jad
ako si prvi covjek 
ti na svijetu, prvi uopce
sto ne kazes, moj Adame

Ref. 2x","https://tekstovi.net/2,212,4419.html"
fqfEGgkn_1_3,Severina,Severina,"Adio, ljube",23227,"Ja sam tebi sve na svijetu vjerovala
ja sam tebi sve na svijetu poklanjala
i dusu i tijelo jer sam tvoja bila
ali me je luda zelja prevarila

Ref. 2x
Adio, ljube, moja ljubavi
sreco, zivot nas rastavi
 
Zbog tebe sam sve na svijetu ostavljala
zbog tebe sam crne noci proplakala
prijatelje stare sve sam ostavila
ali me je luda zelja prevarila

Ref. 2x

Ja bih opet tebe, duso, izabrala
i nikad se ne bih zato pokajala
i dusu i tijelo, sve bih tebi dala
samo da jos jednom budem tvoja mala

Ref. 2x

Adio, ljube, zivot nas rastavi","https://tekstovi.net/2,212,11661.html"
fqfEGgkn_1_4,Severina,Severina,"Aj, aj, aj, aj",25573,"U mojoj ulici jutro donose ptice
i osmijehe na svako lice
djeca za loptom trce i svi se smiju
i nesto mi dovikuju

Dok setam pocinje kisa, ugledam tebe
sami ja i ti, gdje se sakriti
puni su izlozi kisobrana i parfema
i nesto se dobro sprema
 
Ref.
Aj, aj, aj, aj
sve je cool i sve je fino
aj, aj, aj, aj
bas se dobro osjecam
s neba ljubav, sami ti i ja
aj, aj, aj, aj
sve je cool i sve je fino

U mojoj ulici kafici su puni ljudi
novine i kava, svi su pomalo ludi
na petom je katu netko pustio latino
i to je u redu i bas nam je fino

U svakoj kapi kise 
ljubav ceka na nas
i kad je san il' java 
ja ti cujem glas

Ref.","https://tekstovi.net/2,212,11653.html"
fqfEGgkn_1_5,Severina,Severina,"Ajde, ajde zlato moje",68235,"Ti si moj zivot, moj bol
znam jer bez dodira tvog
samo se pravim da zivim
al' zato te ne krivim

Ja sam ko srna gonjena
jer sam ti zabranjena
pusti sto govore ljudi
nek srce mi tvoje sudi
 
O hasta el cielo
yo te quiero, yo te quiero 

Ref. 2x
Ajde, ajde zlato moje
sto je moje to je tvoje
nije kasno za nas dvoje

Volim kad te zadovoljim
volim kad ti udovoljiim
volim kad te usrecim
i kad ti pamet pomutim 

Ref.","https://tekstovi.net/2,212,5239.html"
fqfEGgkn_1_6,Severina,Severina,Ako odes ljubavi,38529,"Jos jedan nemir osjecam u sebi
dok me nocas grli ruka tvoja
ako odes prezalila ne bih
duso moja, duso moja

Ne daj tuga da nam srusi srecu
da nas vrijeme zaboravom zbrise
ako odes ja voljeti necu
nikad vise, nikad vise
 
Ref. 2x
Ako odes, ljubavi
nemoj nista reci
kada suze krenu
suvisne su rijeci

Ako odes, ljubavi
samo me poljubi
prije sto te srce
zauvijek izgubi

Jos jedan nemir osjecam u sebi
dok me nocas grli ruka tvoja
ako odes prezalila ne bih
duso moja, duso moja

Ne daj tuga da nam srusi srecu
da nas vrijeme zaboravom zbrise
ako odes ja voljeti necu
nikad vise, nikad vise

Ref. 2x","https://tekstovi.net/2,212,19565.html"
fqfEGgkn_1_7,Severina,Severina,Alcatraz,140681,"Otkrit cu ti nesto
ako dozvolis
nije bitno koga
bitno je koliko nekog volis

Okreces mi ledja
kao i obicno
a ja te ne pustam i ne dam
srce ne zna sta je logicno
 
Ref.
Stani malo, jos nije kraj
u moje ime ljubav ti ne ubijaj
'ajde ostani i budi jak
vremenom se naviknu i oci na mrak

Briga me gdje plovimo to
na nasem brodu pukotina ima bar sto
al' prezivjet cemo ovo mi
ako posudis od mene malo ljubavi

Ova soba nocas
moj je Alcatraz
i zidovi su ovi
moji izgubljeni snovi

Za mene kazaljke se
nikad ne poklope
nocas ne mislis na mene
u svemu ovom sama ostajem

Ref.

Ref.","https://tekstovi.net/2,212,44387.html"
fqfEGgkn_1_8,Severina,Severina,Ante,48069,"Misto radnje disco klub
svira narodnjake
pridje meni neki lik
drago mi je Ante

Plesete li nebi hvala
radje bi se udala
moze odmah curo draga
Ante sala, sala
 
Ref. 2x 
Ante okani me
se svega ti
puno si lip
al' nisi moj tip

I dok sam u ritmu
techna izvijala bok
Ante mi se rastuzija
reda stok na stok

Odvazi se pridje uhu kaze
slusaj molim te
bices moja, samo moja
draga volim te

Ref. 2x

Ref. 2x","https://tekstovi.net/2,212,3747.html"
fqfEGgkn_1_9,Severina,Severina,"Baby, baby",23188,"Gledas me danima osjecam te
zbog tebe oblacim lude haljine
sad je nase vrijeme
sad su prave godine

Ne, necu ti prva prici nije to red
hajde sve je jednostavno, ne budi blijed
sad je nase vrijeme
sad su prave godine
 
Fali mi cvijet, zavodi me malo
i meni je do tebe stalo
neka muzika svakog
radia bude ljubavna

Ref.
O baby, baby saberi se
bit ce nam dobro, opusti se
nije ti prvi put i nema razloga
da te sve nervira
o baby, baby saberi se
bit ce nam dobro, opusti se
i disi normalno i nema razloga
da te sve nervira

Ref. 2x","https://tekstovi.net/2,212,12037.html"
