Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Orchestra_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Ensemble_discogs,Producer_discogs,Vocals_discogs,Guest_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Zlatko Pejaković,Zlatko Pejaković,Ove Noći Jedna Žena Mirno Spava,,Stevan Zarić,Kornelije Kovač,Kornelije Kovač,Revijski Orkestar RTB,Ove Noći Jedna Žena Mirno Spava,,,,,,,,nan-Ove Noći Jedna Žena Mirno Spava,nan-Ove Noći Jedna Žena Mirno Spava/1980.0-Najveći Hitovi
Zlatko Pejaković,Zlatko Pejaković,Čovek Koji Moli,,,,,Studijski Ansambl Kornelija Kovača,Ove Noći Jedna Žena Mirno Spava,Kornelije Kovač,,,,,,,nan-Ove Noći Jedna Žena Mirno Spava,nan-Ove Noći Jedna Žena Mirno Spava/nan-Lice
Zlatko Pejaković,Zlatko Pejaković,"Uspomene, Uspomene",,Spomenka Kovač,Kornelije Kovač,,,"Uspomene, Uspomene / Devojčice Mala",,1976.0,,,,,,"1976.0-Uspomene, Uspomene / Devojčice Mala","1976.0-Uspomene, Uspomene / Devojčice Mala/1980.0-Najveći Hitovi"
Zlatko Pejaković,Zlatko Pejaković,Devojčice Mala,,,,,,"Uspomene, Uspomene / Devojčice Mala",Kornelije Kovač,1976.0,,,,,,"1976.0-Uspomene, Uspomene / Devojčice Mala","1976.0-Uspomene, Uspomene / Devojčice Mala"
Zlatko Pejaković,Zlatko Pejaković,Kad Jednom Zaželiš,,,,,Revijski Orkestar RTB,Kad Jednom Zaželiš,,,,,,,,nan-Kad Jednom Zaželiš,nan-Kad Jednom Zaželiš/1980.0-Najveći Hitovi/1996.0-The Best Of Zlatko Pejaković - Uspomene 69-96./2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Seti Se Samo,,,,,,Kad Jednom Zaželiš,,,Studijski Ansambl Kornelija Kovača,,,,,nan-Kad Jednom Zaželiš,nan-Kad Jednom Zaželiš
Zlatko Pejaković,Zlatko Pejaković,Priroda,3:15,Aleksandar Stojić,Predrag Jovičić,Sanja Ilić,,Lice,,,,,,,,nan-Lice,nan-Lice
Zlatko Pejaković,Zlatko Pejaković,Jabuka,4:15,Miroslav Válek,Kornelije Kovač,,,Lice,,,,,,,,nan-Lice,nan-Lice
Zlatko Pejaković,Zlatko Pejaković,Kako Da Pomerim Zid,3:00,Marina Tucaković,Alberto Krasnić,Slobodan Marković,,Lice,,,,,,,,nan-Lice,nan-Lice
Zlatko Pejaković,Zlatko Pejaković,Priča O Žutom Kišnom Mantilu,4:15,Marina Tucaković,Josip Boček,,,Lice,,,,,,,,nan-Lice,nan-Lice/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Etida,,,,,,Lice,Kornelije Kovač,,,,,,,nan-Lice,nan-Lice/1996.0-The Best Of Zlatko Pejaković - Uspomene 69-96./2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,"Dnevnik ""Laura""",6:15,Marina Tucaković,Sanja Ilić,Sanja Ilić,,Lice,,,,,,,,nan-Lice,nan-Lice
Zlatko Pejaković,Zlatko Pejaković,Ako Smeš,3:40,Marina Tucaković,Josip Boček,,,Lice,,,,,,,,nan-Lice,nan-Lice
Zlatko Pejaković,Zlatko Pejaković,Neću To Proleće,,Marina Tucaković,Sanja Ilić,,,Neću To Proleće / Čerge,,1977.0,,,,,,1977.0-Neću To Proleće / Čerge,1977.0-Neću To Proleće / Čerge/nan-Zlatko Pejaković/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Čerge,,Zlatko Pejaković,Zlatko Pejaković,Kornelije Kovač,,Neću To Proleće / Čerge,,1977.0,,,,,,1977.0-Neću To Proleće / Čerge,1977.0-Neću To Proleće / Čerge/nan-Zlatko Pejaković/1980.0-Najveći Hitovi/nan-Kad Prođe Sve/1993.0-Tamburicu Ja Mandolinu Ti/1996.0-The Best Of Zlatko Pejaković - Uspomene 69-96./nan-Sve Najbolje/2000.0-CD Kolekcija /2005.0-Zlatna Kolekcija/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Lagala Je Da Me Voli,,Mario Mihaljević,Mario Mihaljević,,,Lagala Je Da Me Voli,,,,,,,,nan-Lagala Je Da Me Voli,nan-Lagala Je Da Me Voli/1980.0-Najveći Hitovi/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Nek Me Barem Neko Voli,,Zlatko Pejaković,Zlatko Pejaković,,,Lagala Je Da Me Voli,,,,,,,,nan-Lagala Je Da Me Voli,nan-Lagala Je Da Me Voli
Zlatko Pejaković,Zlatko Pejaković,"Ćao, I Piši Mi",,Mario Mihaljević,Zrinko Tutić,Slobodan Marković,,"Ćao, I Piši Mi / Vraćam Se Ljubavi",,,,,,,,"nan-Ćao, I Piši Mi / Vraćam Se Ljubavi","nan-Ćao, I Piši Mi / Vraćam Se Ljubavi/nan-Zlatko Pejaković/2000.0-CD Kolekcija "
Zlatko Pejaković,Zlatko Pejaković,Vraćam Se Ljubavi,,,,,,"Ćao, I Piši Mi / Vraćam Se Ljubavi",Kornelije Kovač,,,,,,,"nan-Ćao, I Piši Mi / Vraćam Se Ljubavi","nan-Ćao, I Piši Mi / Vraćam Se Ljubavi/nan-Zlatko Pejaković/2000.0-CD Kolekcija "
Zlatko Pejaković,Zlatko Pejaković,To Su Dani,3:03,Željko Krznarić,Kornelije Kovač,Josip Boček,,Zlatko Pejaković,,,,,,,,nan-Zlatko Pejaković,nan-Zlatko Pejaković/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Uspomene,4:01,Spomenka Kovač,Kornelije Kovač,Kornelije Kovač,,Zlatko Pejaković,,,,,,,,nan-Zlatko Pejaković,nan-Zlatko Pejaković/1996.0-The Best Of Zlatko Pejaković - Uspomene 69-96./2000.0-CD Kolekcija /2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Ove Noći Jedna Žena,4:30,Stevan Zarić,Kornelije Kovač,Kornelije Kovač,,Zlatko Pejaković,,,,,,,,nan-Zlatko Pejaković,"nan-Zlatko Pejaković/nan-U Se, Na Se... (Zlatko '95)/nan-Sve Najbolje/2000.0-CD Kolekcija /2005.0-Zlatna Kolekcija/2007.0-The Platinum Collection"
Zlatko Pejaković,Zlatko Pejaković,"Smej Se, Smej",4:01,,,,,Zlatko Pejaković,Kornelije Kovač,,,,,,,nan-Zlatko Pejaković,nan-Zlatko Pejaković/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,"Obriši Te Suze, Mama",,Mario Mihaljević,Mario Mihaljević,,,"Obriši Te Suze, Mama / Neka Ćute Violine",,1978.0,,,,,,"1978.0-Obriši Te Suze, Mama / Neka Ćute Violine","1978.0-Obriši Te Suze, Mama / Neka Ćute Violine/nan-U Se, Na Se... (Zlatko '95)/2007.0-The Platinum Collection"
Zlatko Pejaković,Zlatko Pejaković,Neka Ćute Violine,,Zlatko Pejaković,Zlatko Pejaković,,,"Obriši Te Suze, Mama / Neka Ćute Violine",,1978.0,,,,,,"1978.0-Obriši Te Suze, Mama / Neka Ćute Violine","1978.0-Obriši Te Suze, Mama / Neka Ćute Violine/nan-Tebi Ljubavi/1980.0-Najveći Hitovi/2000.0-CD Kolekcija "
Zlatko Pejaković,Zlatko Pejaković,"Prolilo Se Sve, Rasula Se Ljubav",,,,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Ne Treba Mi Takva Ljubav,,,,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Zadnja Momačka Noć,,,,Sanja Ilić,,Tebi Ljubavi,Mario Mihaljević,,,,,,,nan-Tebi Ljubavi,"nan-Tebi Ljubavi/nan-U Se, Na Se... (Zlatko '95)/2000.0-CD Kolekcija "
Zlatko Pejaković,Zlatko Pejaković,Jednom Kad Budem...,,,Josip Boček,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi
Zlatko Pejaković,Zlatko Pejaković,Tebi Ljubavi,,,,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Sve Drage Ljubavi,,,,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Ljubi Me Noćas,,,,,,Tebi Ljubavi,,,,,,,,nan-Tebi Ljubavi,nan-Tebi Ljubavi/2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,Do Juče Još Deca,,,,,,Do Juče Još Deca / Odkud Ti Pravo,,1979.0,,,,,,1979.0-Do Juče Još Deca / Odkud Ti Pravo,1979.0-Do Juče Još Deca / Odkud Ti Pravo/1980.0-Najveći Hitovi
Zlatko Pejaković,Zlatko Pejaković,Odkud Ti Pravo,,,,,,Do Juče Još Deca / Odkud Ti Pravo,,1979.0,,,,,,1979.0-Do Juče Još Deca / Odkud Ti Pravo,1979.0-Do Juče Još Deca / Odkud Ti Pravo
Zlatko Pejaković,Zlatko Pejaković,Vratila Se Jedna Žena,,Ivica Kasumović,Mario Mihaljević,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,"Nemoj, Nemoj Plakati",,Stjepan Benzon,Sanja Ilić,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Tužan Početak I Kraj,,Božo Marić,Zlatko Pejaković,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Ja I Kišna Noć,,Zlatko Pejaković,Dejan Petković,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Oboje Smo Krivi,,Željko Sabol,Đelo Jusić,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Dilema,,Dragan Lisovec,Sanja Ilić,Slobodan Marković,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Twist,,Zlatko Pejaković,Zlatko Pejaković,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/1980.0-Nikom Te Ne Dam / Twist
Zlatko Pejaković,Zlatko Pejaković,Jedna Ljubav Ponovo Se Budi,,Ivica Kasumović,Mario Mihaljević,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Sve Je Moglo Drugačije Da Bude,,Radmila Mudrinić,Sanja Ilić,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Ljetu Je Mome Kraj,,Gordan Franić,Teo Trumbić,,,Dilema,,,,,,,,nan-Dilema,nan-Dilema/nan-Ljetu Je Mome Kraj / San Stefan/1980.0-Panonski Mornar / Ljetu Je Mome Kraj/1980.0-Najveći Hitovi/2001.0-Pjesma Je Da Se Pjeva/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,San Stefan,,Teo Trumbić,Teo Trumbić,,,Ljetu Je Mome Kraj / San Stefan,,,,,,,,nan-Ljetu Je Mome Kraj / San Stefan,nan-Ljetu Je Mome Kraj / San Stefan
Zlatko Pejaković,Zlatko Pejaković,Pjesma Je Da Se Pjeva,,Ivica Kasumović,Mario Mihaljević,Sanja Ilić,,Pjesma Je Da Se Pjeva,,1980.0,,,,,,1980.0-Pjesma Je Da Se Pjeva,1980.0-Pjesma Je Da Se Pjeva/1980.0-Ti Nisi Ta
Zlatko Pejaković,Zlatko Pejaković,Tvoje Oči,,Zlatko Pejaković,Zlatko Pejaković,Dragan Ilić,,Pjesma Je Da Se Pjeva,,1980.0,,,,,,1980.0-Pjesma Je Da Se Pjeva,1980.0-Pjesma Je Da Se Pjeva/1980.0-Ti Nisi Ta
