Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
wNGUjqQ7_1_0,Zlatko Pejaković,Zlatko Pejaković,150 godina,7875,"Ref. 2x
150 godina
 ko da nocas imam ja
150 ljubavi
 a nijedna kao ti

Noci su teske dok samujem
novom se jutru radujem
tjelo te trazi, luduje
u dusi tuga caruje

Ref. 2x","https://tekstovi.net/2,685,32905.html"
wNGUjqQ7_1_1,Zlatko Pejaković,Zlatko Pejaković,Ako odem prijatelji,64658,"Srce moje, kucaj tise
drugi sad je ljubi
prekasno je sad za nadu
nije prvi put da gubim

Neka odem, nek me nema
otisla je drugom
ja ne mogu, ja se necu
vise borit' s tugom
 
Ref. 2x
Ako odem prijatelji
na grobu mi pjevajte vi
o ovom tuznom zivotu
o nesretnoj ljubavi

Neka umrem, nek me nema 
otisla je drugom 
ja ne mogu, ja se necu
vise borit' s tugom

Ref. 3x","https://tekstovi.net/2,685,14422.html"
wNGUjqQ7_1_2,Zlatko Pejaković,Zlatko Pejaković,Baksuz,4765,"Probudim se lom oko mene
padne mi mrak za cas
pukne zivac svadja  krene
derem se na sav glas

Ovaj grad me ubi u pojam
sve mi je dosadno
glava boli i imam dojam
pao sam na dno
 
Ja u kuci i nemam mira
sto cu od umora
moram nekud gdje se svira
negdje do mora

Aaaa....aaa
zasto se meni sve to dogadja
aaaa...aaa
baksuza takvog majka ne rada

Probudim se nista ne pjeva
na moru prvi dan
kisa pada grmi i sijeva
sve je k'o ruzan san

A na kraju zapuse jugo
znam gore ne moze bit'
osjecam se cijeli k'o sugo
vracam se nazad i kvit

Ja bas nigdje i nemam mira
sto cu od umora
sve mi smeta i sve nervira
urlam s prozora

Aaaa...aaa
baksuza takvog majka ne rada
aaaa....aaa
zasto se meni sve to dogadja","https://tekstovi.net/2,685,32241.html"
wNGUjqQ7_1_3,Zlatko Pejaković,Zlatko Pejaković,Bog mi je svjedok,4709,"Bog mi je svjedok
da jos sanjam te
dodjes u snu 
stvarna k'o da si tu

Zivot bi bio lijep
da se ne sanja
o, kako bole budjenja

Samo, nebo zna
kol'ko mi jos nedostaje
samo jedno tvoje, volim te

Bog mi je svjedok
da jos sanjam te","https://tekstovi.net/2,685,32904.html"
wNGUjqQ7_1_4,Zlatko Pejaković,Zlatko Pejaković,Cao amore,4940,"Tvoj se brod u daljini gubi
nestaje divan san
oko mene je puno ljudi 
na obali stojim sam

Molim valove da te vrate
ljubav ne moze proc
molim galebe da te prate
i cuvaju ovu noc
 
Ref. 2x
Cao amore, cao 
cao i pisi, pisi mi
cao i pomisli na nas
a kad pozelis ti se mozes vratiti

Cao amore cao
amore cao
i vrati se","https://tekstovi.net/2,685,31601.html"
wNGUjqQ7_1_5,Zlatko Pejaković,Zlatko Pejaković,Cerge,103960,"Stari cigan bolno jeca sam
napusten od svih
violina gusi njegov bol
suze tope glas

Ref. 2x
Cerge, pokraj njega idu
prazna dusa tiho jeca
ostala je samo prazna casa
 
U tu kasnu, hladnu zimsku noc
prestade da kuca
srce staro koga slomi bol
cemernog zivota 

Ref. 2x","https://tekstovi.net/2,685,15129.html"
wNGUjqQ7_1_6,Zlatko Pejaković,Zlatko Pejaković,"Cvita, Cvita, cvite moj",938,"Krenija je brod priko mora
ostala je Cvita iza skoja
kleja san se i ne zelin krit'
da me ceka, da cu viran bit'

Ali, nakon pustih dana
tamo, priko oceana
u svitanje litnje zore
osvanilo moje more
 
Ref.
Cvita, Cvita, cvite moj
evo san ti dosa
da te doma vodin
da ti ruku prosin

Oprosti mi, cvite moj
ca si sama bila
od sad cemo skupa
ostat' sve dovika

Nosile me bure i nevere
mamile me luke juznog mora
uzalud su jecale gitare
ostalo je srce iza skoja

Ref. 2x","https://tekstovi.net/2,685,60289.html"
wNGUjqQ7_1_7,Zlatko Pejaković,Zlatko Pejaković,Da smo znali,728,"Ljubavi
da smo znali voljeti
sada bi
mogli naci put
ne bi lutali

Znas li, ljubavi
da smo znali prastati
sada bi
mogli k'o i svi
sunce sanjati
 
Znas li, ljubavi
srce zna i boljeti
boljeti
kada netko drag
drugog prevari

Vjeruj, ljubavi
da smo znali cekati
mozda bi
i mi uspjeli
nekud pobjeci
skupa ostati

Ref.
Da smo samo nekad znali to
da smo samo jednom mogli to
mi se ne bi nikad rastali
ne bi sebe tako vrijedjali

Znas li to, znas li to 

Ljubavi
nemoj piti, plakati
da smo se
nekad znali mi
ti zaboravi
ti zaboravi

Ref.

Ljubavi
ime mi ne spominji
da smo se
nekad znali mi
ti zaboravi
ti zaboravi","https://tekstovi.net/2,685,60291.html"
wNGUjqQ7_1_8,Zlatko Pejaković,Zlatko Pejaković,Da te vidim Ano,4443,"Put putujem u jedan mali grad
da, da te vidim kako si mi sad
da l', da l' za mene nesto osjecas
il' se moga imena ti vise ne sjecas

Put putujem gdje netko voli me
sva svaka bol tu manje boli me
i idem tamo moram doznati
da l' ces me se sjetiti il' me neces poznati
da l' ces me se sjetiti il' me neces poznati
 
Ref.
Da te vidim rano, da te vidim Ano
bilo bi mi dosta
sretna dusa mi je, samo s jednim nije
zedna tebe osta

Da te vidim rano, da te vidim Ano
dosta bi mi bilo
pijana mi glava, legla bi da spava
al' u tvoje krilo

Ref. 2x

Pijana mi glava, legla bi da spava
al' u tvoje krilo","https://tekstovi.net/2,685,32242.html"
wNGUjqQ7_1_9,Zlatko Pejaković,Zlatko Pejaković,Dajte neku losu,5661,"Oko mene sve neke postene
kad se maze samo paze
sminku da ne pokvare
kao svetice, ko opatice
nocu spavaju, danju rade
umirem od dosade
 
Ref. 2x
Dajte neku losu
kojoj radi masta
da mi plese oko stola
kupiti cu joj svasta

Dajte neku vrelu da me
grije dahom kao Boga
da me gleda 
dok je kitim zlatom

Oko mene sve lutke vostane
te ne lutaju, te se cuvaju 
dobro da se udaju 
kao svetice, ko opatice
 nocu spavaju, danju rade
 umirem od dosade

Ref. 2x

Ref. 2x","https://tekstovi.net/2,685,39271.html"
