Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Backing Vocals_discogs,Written-By_discogs,Adapted By_discogs,Lyrics By [dt.]_discogs,Arranged By_discogs,Composed By_discogs,Lyrics By [Dt. Text]_discogs,Conductor_discogs,Orchestra_discogs,Choir_discogs,Leader [Rundfunk-Tanzorchester Berlin]_discogs,Leader [Rundfunk-Tanzstreichorchester Berlin]_discogs,Lyrics By [German]_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Đani Maršan,Đani Maršan,Kad Ljubav Postane Poezija,2:31,Đani Maršan,Piero Soffici,Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema,1969,['Pop'],,,,,,,,,,,,,,,1969-Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema,1969-Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema/2008-Zlatna Kolekcija
Đani Maršan,Đani Maršan,Plači Kad Nikoga Nema,3:00,Vesna Lukatela,Stjepan Mihaljinec,Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema,1969,['Pop'],,,,,,,,,,,,,,,1969-Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema,1969-Kad Ljubav Postane Poezija / Plači Kad Nikoga Nema
Đani Maršan,Đani Maršan,Sjeti Se,,Đani Maršan,Unknown Artist,Sjeti Se / Ne Ostavljaj Me Sad,1969,['Pop'],,,,,,,,,,,,,,,1969-Sjeti Se / Ne Ostavljaj Me Sad,1969-Sjeti Se / Ne Ostavljaj Me Sad
Đani Maršan,Đani Maršan,Ne Ostavljaj Me Sad,,Dragutin Britvić,Stjepan Mihaljinec,Sjeti Se / Ne Ostavljaj Me Sad,1969,['Pop'],,,,,,,,,,,,,,,1969-Sjeti Se / Ne Ostavljaj Me Sad,1969-Sjeti Se / Ne Ostavljaj Me Sad
Đani Maršan,Đani Maršan,Još Nije Svršeno Sve,,,Đorđe Novković,Još Nije Svršeno Sve / Biljana,1970,['Pop'],,,,,,,,,,,,,,,1970-Još Nije Svršeno Sve / Biljana,1970-Još Nije Svršeno Sve / Biljana
Đani Maršan,Đani Maršan,Biljana,,Snežana Lipkovska,Aleksandar Džambazov,Još Nije Svršeno Sve / Biljana,1970,['Pop'],Adica Dobrić,,,,,,,,,,,,,,1970-Još Nije Svršeno Sve / Biljana,1970-Još Nije Svršeno Sve / Biljana
Đani Maršan,Đani Maršan,Ja Te Volim,,,Stjepan Mihaljinec,Ja Te Volim / Nema Dana,1971,['Pop'],,Dragutin Britvić,,,,,,,,,,,,,1971-Ja Te Volim / Nema Dana,1971-Ja Te Volim / Nema Dana/2008-Zlatna Kolekcija/2016-The Best Of Collection
Đani Maršan,Đani Maršan,Nema Dana,,,,Ja Te Volim / Nema Dana,1971,['Pop'],,Traditional,Đani Maršan,,,,,,,,,,,,1971-Ja Te Volim / Nema Dana,1971-Ja Te Volim / Nema Dana
Đani Maršan,Đani Maršan,Ne Plači Marija,,,,Ne Plači Marija / Moja Mare,1971,['Pop'],,,,,,,,,,,,,,,1971-Ne Plači Marija / Moja Mare,1971-Ne Plači Marija / Moja Mare
Đani Maršan,Đani Maršan,Moja Mare,,,,Ne Plači Marija / Moja Mare,1971,['Pop'],,,,,,,,,,,,,,,1971-Ne Plači Marija / Moja Mare,1971-Ne Plači Marija / Moja Mare
Đani Maršan,Đani Maršan,Curo Moja,,,,Curo Moja,1972,['Pop'],,Đani Maršan,,,,,,,,,,,,,1972-Curo Moja,1972-Curo Moja
Đani Maršan,Đani Maršan,One Stare Pjesme,,,,Curo Moja,1972,['Pop'],,Dragutin Britvić,,,,,,,,,,,,,1972-Curo Moja,1972-Curo Moja
Đani Maršan,Đani Maršan,Dort Werd' Ich Warten (Čemu Da Živim),,,Đorđe Novković,Dort Werd' Ich Warten / Ich Sing' Für Dich,1972,['Pop'],,,,Kurt Demmler,,,,,,,,,,,1972-Dort Werd' Ich Warten / Ich Sing' Für Dich,1972-Dort Werd' Ich Warten / Ich Sing' Für Dich/1973-Unter Südlicher Sonne
