Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,nan,Npmsn,nan,B-loc
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Samo,Rgp,samo,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,jednom,Rgp,jednom,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ljubav,Ncfsn,ljubav,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,pokuca,Vmr3s,pokucati,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,na,Sa,na,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,vrata,Ncnpa,vrata,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,te,Pp2-sa,ti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,rani,Ncfsl,rana,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,čežnjom,Ncfsg,čežnja,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,i,Cc,i,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,gorčinom,Ncfsi,gorčina,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,te,Pp2-sa,ti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,vodi,Vmr3s,voditi,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ko,Cs,ko,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,`,Sa,`,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,pticu,Ncfsa,ptica,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,bez,Sg,bez,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,jata,Ncnsg,jato,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,;,Z,;,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,te,Pp2-sa,ti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,tješi,Vmr3s,tješiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,vinom,Ncnsi,vino,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Ako,Cs,ako,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,me,Pp1-sa,ja,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ostaviš,Vmr2s,ostaviti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,",",Z,",",O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,kad,Cs,kad,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,poželiš,Vmr2s,poželjeti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,kraj,Ncmsan,kraj,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,I,Cc,i,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,nebo,Ncnsn,nebo,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,će,Var3s,htjeti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,plakati,Vmn,plakati,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,",",Z,",",O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,izgubit,Vmn,izgubiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,će,Var3s,htjeti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,sjaj,Ncmsan,sjaj,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Ako,Cs,ako,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,me,Pp1-sa,ja,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ostaviš,Vmr2s,ostaviti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,",",Z,",",O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ne,Qz,ne,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ruši,Vmr3s,rušiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,drugo,Mlonsa,drugi,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,sve,Agpnsay,sav,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Pusti,Vmm2s,pustiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,vjerujem,Vmr1s,vjerovati,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,voljela,Vmp-sf,voljeti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,si,Var2s,biti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,me,Pp1-sa,ja,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Samo,Rgp,samo,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,jednom,Rgp,jednom,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ljubav,Ncfsn,ljubav,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,pokuca,Vmr3s,pokucati,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,na,Sa,na,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,vrata,Ncnpa,vrata,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ti,Pp2-sd,ti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,pruži,Vmr3s,pružiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,snove,Ncmpa,san,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,i,Cc,i,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ljepotu,Ncfsa,ljepota,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Da,Cs,da,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ti,Pp2-sd,ti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,stavi,Vmr3s,staviti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,okove,Ncmpa,okov,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,od,Sg,od,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,zlata,Ncnsg,zlato,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Jednom,Rgp,jednom,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,u,Sl,u,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,životu,Ncmsl,život,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,.,Z,.,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Ako,Cs,ako,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,si,Var2s,biti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,pošla,Vmp-sf,poći,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,spat,Vmn,spati,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Bila,Vap-sf,biti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,ti,Pp2-sn,ti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,laka,Agpfsny,lak,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,noć,Ncfsn,noć,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,",",Z,",",O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Anđeli,Ncmpn,anđeo,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,od,Sg,od,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,raja,Ncmsg,raj,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,",",Z,",",O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Bili,Vap-pm,biti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,ti,Pp2-sd,ti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,na,Sa,na,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,pomoć,Ncfsa,pomoć,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,.,Z,.,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Blažena,Agpfsny,blažen,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,postelja,Ncfsn,postelja,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Na,Sl,na,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,kojoj,Pi-fsl,koji,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,počivaš,Vmr2s,počivati,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,",",Z,",",O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Blaženi,Agpmsny,blažen,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,lancuni,Agpmsny,lancun,O
