Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,A,Cc,a,O
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,kad,Cs,kad,O
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,se,Px--sa,sebe,O
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,tebi,Pp2-sd,ti,O
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,opet,Rgp,opet,O
Mate Miso Kovac,A kad se tebi opet vratim,Zwn2Yv0K_0,vratim,Vmr1s,vratiti,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,Ako,Cs,ako,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,me,Pp1-sa,ja,O
Mate Miso Kovac,Ako me ostaviš,Zwn2Yv0K_1,ostaviš,Vmr2s,ostaviti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,Ako,Cs,ako,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,si,Var2s,biti,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,pošla,Vmp-sf,poći,O
Mate Miso Kovac,Ako si pošla spat,Zwn2Yv0K_2,spat,Vmn,spati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,srce,Ncnsn,srce,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,mira,Ncmsg,mir,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nema,Vmr3s,nemati,O
Mate Miso Kovac,Balada o vremenu,Zwn2Yv0K_4,Balada,Ncfsn,balada,O
Mate Miso Kovac,Balada o vremenu,Zwn2Yv0K_4,o,Sl,o,O
Mate Miso Kovac,Balada o vremenu,Zwn2Yv0K_4,vremenu,Ncnsl,vrijeme,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,Bez,Sg,bez,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,rastanka,Ncmsg,rastanak,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,suza,Ncfpg,suza,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,nema,Vmr3s,nemati,O
Mate Miso Kovac,Bijela lađa,Zwn2Yv0K_6,Bijela,Agpfsny,bijel,O
Mate Miso Kovac,Bijela lađa,Zwn2Yv0K_6,lađa,Ncfsn,lađa,O
Mate Miso Kovac,"Bili, bili",Zwn2Yv0K_7,Bili,Vap-pm,biti,O
Mate Miso Kovac,"Bili, bili",Zwn2Yv0K_7,",",Z,",",O
Mate Miso Kovac,"Bili, bili",Zwn2Yv0K_7,bili,Vap-pm,biti,O
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,Bog,Ncmsn,bog,B-per
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,mi,Pp1-sd,ja,O
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,daje,Vmr3s,davati,O
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,",",Z,",",O
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,Bog,Ncmsn,bog,B-per
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,mi,Pp1-sd,ja,O
Mate Miso Kovac,"Bog mi daje, Bog mi uzima",Zwn2Yv0K_8,uzima,Vmr3s,uzimati,O
Mate Miso Kovac,Budi čovjek dobre volje,Zwn2Yv0K_9,Budi,Agpmsny,buditi,O
Mate Miso Kovac,Budi čovjek dobre volje,Zwn2Yv0K_9,čovjek,Ncmsn,čovjek,O
Mate Miso Kovac,Budi čovjek dobre volje,Zwn2Yv0K_9,dobre,Agpfsgy,dobar,O
Mate Miso Kovac,Budi čovjek dobre volje,Zwn2Yv0K_9,volje,Ncfsg,volja,O
Mate Miso Kovac,Croatia victoria (duet Josip Katalenić),Zwn2Yv0K_10,Croatia,Npfsn,Croatia,B-org
Mate Miso Kovac,Croatia victoria (duet Josip Katalenić),Zwn2Yv0K_10,victoria,Npfsn,victoria,I-org
Mate Miso Kovac,Croatia victoria (duet Josip Katalenić),Zwn2Yv0K_10,(,Z,(,O
Mate Miso Kovac,Croatia victoria (duet Josip Katalenić),Zwn2Yv0K_10,duet,Ncmsn,duet,O
Mate Miso Kovac,Croatia victoria (duet Josip Katalenić),Zwn2Yv0K_10,Josip,Npmsn,Josip,B-per
