lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
Hajduk,PROPN,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
Palace,PROPN,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
Marjan,PROPN,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
Split,PROPN,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
Nevista,PROPN,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
Dalmacija,PROPN,Mišo Kovač,Dalmacija u mom oku,zT3Xu5sD_1_15,https://lyricstranslate.com/en/dalmacija-u-mom-oku-dalmacija-my-eye.html,75101
Dalmacija,PROPN,Mišo Kovač,Dalmaciju dišem misto zraka,zT3Xu5sD_1_16,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/dalmaciju-disem-misto-zraka.html,400
Bog,PROPN,Mišo Kovač,Dalmaciju dišem misto zraka,zT3Xu5sD_1_16,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/dalmaciju-disem-misto-zraka.html,400
Dalmatinac,PROPN,Mišo Kovač,Dalmatinac,zT3Xu5sD_1_17,https://lyricstranslate.com/en/dalmatinac-dalmatian.html,13462
Dalmacija,PROPN,Mišo Kovač,Dalmatinska,zT3Xu5sD_1_18,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/dalmatinska.html,392
Ana,PROPN,Mišo Kovač,Dalmatinska,zT3Xu5sD_1_18,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/dalmatinska.html,392
Jadran,PROPN,Mišo Kovač,Dalmatinske lipe oči,zT3Xu5sD_1_19,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/dalmatinske-lipe-oci.html,12679
Hrvatska,PROPN,Mišo Kovač,Grobovi im nikad oprostiti neće,zT3Xu5sD_1_26,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/grobovi-im-nikad-oprostiti-nece.html,11706
Bog,PROPN,Mišo Kovač,Grobovi im nikad oprostiti neće,zT3Xu5sD_1_26,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/grobovi-im-nikad-oprostiti-nece.html,11706
Hrvat,PROPN,Mišo Kovač,Grobovi im nikad oprostiti neće,zT3Xu5sD_1_26,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/grobovi-im-nikad-oprostiti-nece.html,11706
Hrvatska,PROPN,Mišo Kovač,"Hej, vi borci",zT3Xu5sD_1_27,"https://tekstovi.net/2,692,56218.html",1166
Dalmacija,PROPN,Mišo Kovač,"Hej, vi borci",zT3Xu5sD_1_27,"https://tekstovi.net/2,692,56218.html",1166
Slavonija,PROPN,Mišo Kovač,"Hej, vi borci",zT3Xu5sD_1_27,"https://tekstovi.net/2,692,56218.html",1166
Tomislav,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Livno,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
herceg-Bosna,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Suica,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Kupres,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Hrvat,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Ljubuski,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
gruda,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Mostar,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Stolac,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Neum,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Capljina,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Hrvatska,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Međugorje,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Citluk,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Bog,PROPN,Mišo Kovač,Herceg-Bosna (To je zemlja gdje zive Hrvati),zT3Xu5sD_1_28,"https://tekstovi.net/2,692,49035.html",6576
Hajduk,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Stipa,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Tin,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Ludin,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Mison,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Poljud,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
